f00F,f00M,f05F,f05M,f13F,f13M,f25F,f25M,facF,facM,rotulo
84,86,27,28,66,63,136,10,224,8,0
80,76,13,12,17,16,48,12,52,15,0
11,3,3,3,4,1,5,3,17,0,0
24,29,16,15,10,13,37,2,55,4,0
26,30,13,12,7,5,24,2,42,3,0
15,21,14,17,12,9,21,8,36,5,0
60,64,29,28,18,23,33,5,84,7,0
58,59,15,15,12,14,41,14,42,11,0
56,62,15,10,26,26,44,11,54,10,0
37,43,9,10,11,16,24,0,37,3,0
86,85,25,20,33,28,69,9,122,6,0
71,69,19,14,30,27,27,5,85,5,0
52,59,9,15,19,25,23,5,54,5,0
132,136,53,53,53,60,146,26,308,26,0
42,51,45,42,18,14,45,8,117,12,0
12,8,5,2,2,3,5,0,15,2,0
245,254,96,97,104,100,384,106,682,103,0
13,14,6,3,5,7,8,3,14,2,0
19,20,4,9,6,12,38,2,45,2,0
35,43,10,11,17,18,56,9,65,10,0
173,173,54,60,64,59,57,15,175,16,0
307,316,76,74,85,79,305,26,445,24,0
23,20,7,4,7,7,17,1,36,5,0
247,246,72,72,103,108,241,12,405,13,0
60,55,11,17,13,16,77,9,82,7,0
94,99,64,68,42,46,231,40,253,43,0
100,99,26,31,57,54,87,27,184,27,0
417,417,206,207,187,183,714,132,815,132,0
40,42,20,19,19,17,21,6,40,4,0
259,259,91,91,97,97,224,31,312,29,0
29,40,4,11,7,14,15,4,35,8,0
33,31,12,12,8,9,28,6,54,8,0
38,37,9,12,16,11,13,2,34,6,0
35,30,21,25,14,17,51,10,80,11,0
3365,3369,523,523,1294,1292,2837,368,4538,370,0
86,88,32,35,20,16,58,5,104,2,0
40,38,17,19,11,11,29,3,71,5,0
63,63,20,16,13,17,56,8,89,7,0
57,54,27,26,26,21,64,17,87,14,0
88,97,31,31,22,21,77,2,90,5,0
32,36,17,14,9,7,49,6,73,3,0
252,246,46,50,118,122,199,34,214,32,0
585,591,113,110,131,136,666,125,974,125,0
101,98,45,44,34,40,84,25,158,26,0
48,51,15,15,16,19,58,10,89,10,0
636,631,253,248,146,151,667,72,884,74,0
89,88,16,12,16,12,69,19,90,21,0
21,13,8,14,11,11,21,6,33,8,0
53,53,26,29,22,19,37,2,91,7,0
20,29,13,11,20,15,28,3,55,2,0
178,176,33,39,68,71,159,41,173,44,0
359,362,214,209,85,92,394,60,535,63,0
89,87,45,49,30,27,120,13,134,14,0
540,550,332,335,242,247,422,127,1076,128,0
68,64,29,35,17,14,75,13,135,13,0
396,402,123,125,165,165,551,24,620,24,0
77,79,36,32,16,21,72,11,155,13,0
461,464,200,204,218,220,398,23,575,27,0
22,17,3,12,8,14,22,2,50,2,0
42,38,18,13,12,11,74,13,117,18,0
68,64,19,18,21,23,88,16,91,16,0
196,193,59,64,75,74,97,5,370,8,0
91,97,52,50,34,37,67,23,233,25,0
1386,1387,322,328,435,433,1463,286,2522,286,0
25,35,13,7,10,7,25,9,49,10,0
19,18,10,12,8,8,14,5,50,5,0
31,28,13,14,11,11,30,6,57,8,0
31,23,19,13,15,12,28,5,55,3,0
23,14,9,12,5,11,12,2,33,0,0
219,216,59,54,126,123,222,34,431,37,0
102,106,80,79,75,75,206,36,223,36,0
134,130,43,38,50,54,63,33,173,31,0
106,114,48,52,27,32,143,15,161,15,0
218,212,77,79,42,39,106,28,348,28,0
41,49,30,30,32,30,93,12,123,12,0
508,507,143,138,236,230,365,56,650,61,0
58,59,24,24,17,17,60,15,95,16,0
56,52,7,12,9,7,33,7,55,9,0
68,65,26,30,28,29,46,9,49,12,0
148,157,36,44,50,48,199,39,272,36,0
60,64,21,23,14,20,70,10,80,10,0
224,228,85,82,49,56,89,14,218,18,0
51,61,17,18,15,15,48,8,51,8,0
16,21,3,4,6,9,7,1,33,6,0
365,359,139,142,85,87,136,44,400,42,0
2,9,1,2,1,1,7,0,9,1,0
157,159,39,40,80,78,167,29,289,31,0
140,145,61,60,96,92,173,27,400,28,0
36,41,22,27,27,27,52,12,63,16,0
870,879,242,243,348,351,1197,176,1727,178,0
48,45,16,19,12,19,14,6,44,6,0
101,106,40,43,30,30,126,8,263,12,0
5,14,5,5,9,4,8,1,18,3,0
139,143,70,71,56,58,60,27,157,29,0
49,51,16,13,29,32,62,3,126,5,0
458,464,307,313,177,179,551,157,611,160,0
211,211,45,47,34,36,226,7,234,8,0
171,168,94,90,79,80,225,48,227,49,0
266,270,145,150,128,128,185,53,674,56,0
45,38,13,20,16,23,33,10,51,13,0
122,118,20,16,38,39,39,5,153,5,0
175,172,74,72,110,113,185,13,247,12,0
415,411,251,255,134,139,226,53,745,56,0
27,27,7,10,17,14,35,1,75,2,0
100,100,84,80,80,83,232,7,319,9,0
93,89,36,41,31,29,38,22,113,25,0
82,86,20,17,23,29,81,17,84,20,0
141,146,76,79,68,63,91,14,194,17,0
426,424,259,255,368,369,1104,90,1116,90,0
251,251,105,105,53,49,212,51,385,54,0
72,72,16,17,34,38,50,3,168,2,0
112,113,21,15,38,45,54,20,96,17,0
67,63,15,17,17,21,23,7,99,6,0
99,95,37,43,17,19,41,23,101,23,0
100,103,38,36,18,18,146,24,153,22,0
311,308,218,219,146,142,374,88,746,88,0
37,41,32,31,13,10,47,16,127,18,0
14,15,5,10,1,7,15,3,18,4,0
497,493,103,99,183,184,409,100,791,98,0
27,22,6,11,11,8,17,3,20,4,0
109,107,29,30,55,60,48,4,148,4,0
16,23,7,12,3,4,26,0,38,2,0
359,352,260,257,194,197,386,76,657,76,0
225,217,61,65,116,120,196,67,243,67,0
71,74,34,39,35,40,28,15,99,15,0
300,301,116,118,102,107,260,22,492,23,0
122,120,59,60,45,42,57,36,209,39,0
153,148,40,45,52,50,122,13,213,11,0
207,199,105,100,132,128,176,72,370,75,0
11,18,6,2,5,3,8,3,33,3,0
10,14,5,4,2,4,10,2,17,1,0
155,150,82,79,77,72,126,22,206,22,0
20,28,8,13,6,11,25,4,53,2,0
19,14,2,5,1,3,8,1,30,2,0
281,281,127,126,92,92,166,62,331,66,0
467,463,103,100,75,78,362,25,723,29,0
56,52,20,21,22,27,56,15,214,16,0
29,27,18,18,14,12,20,7,76,5,0
68,74,9,14,24,29,51,13,64,10,0
55,60,16,19,29,33,48,13,101,16,0
100,99,39,38,34,37,88,18,119,21,0
107,101,44,51,35,42,118,17,139,15,0
4,8,0,3,0,4,5,0,8,3,0
236,231,132,127,78,76,248,16,295,20,0
57,57,30,25,25,25,41,2,73,1,0
102,107,43,46,38,35,143,14,157,17,0
1163,1157,367,372,383,386,564,267,1818,267,0
106,101,36,32,39,44,50,21,79,19,0
365,373,87,83,93,93,264,82,554,79,0
31,25,8,7,17,12,25,0,52,2,0
81,85,26,22,32,38,88,26,141,24,0
466,469,237,236,209,208,329,96,655,96,0
140,139,96,96,60,65,254,16,336,19,0
13,12,4,8,9,8,24,3,36,1,0
806,800,374,378,338,336,380,49,1382,51,0
16,17,7,5,10,10,10,3,37,7,0
107,107,101,98,54,49,156,11,164,11,0
107,114,21,18,27,30,74,10,92,14,0
45,48,22,24,19,19,37,13,41,10,0
90,85,18,16,38,33,73,4,86,2,0
58,63,21,26,15,20,39,13,90,13,0
32,37,6,8,12,11,47,0,61,3,0
150,144,84,79,35,38,288,41,337,38,0
293,301,63,69,109,115,156,21,439,26,0
139,135,48,48,37,35,61,19,195,17,0
667,674,282,276,231,226,1454,277,1922,279,0
128,126,62,57,21,28,117,9,143,7,0
9,15,3,6,6,4,20,4,26,3,0
10,19,0,5,5,8,11,0,16,3,0
8,7,3,7,0,7,10,3,12,1,0
51,48,35,33,28,29,84,5,117,4,0
232,227,58,56,134,140,175,77,621,75,0
81,81,16,18,21,23,75,5,103,8,0
77,82,51,49,21,21,74,24,131,26,0
182,187,65,61,82,81,208,7,251,8,0
29,28,9,6,14,12,24,8,63,7,0
14,22,5,6,5,3,10,1,25,5,0
37,46,33,34,40,42,44,10,88,10,0
11,17,6,2,6,4,17,0,22,0,0
121,129,118,122,96,97,302,56,372,57,0
26,23,12,9,5,4,32,0,36,4,0
6,3,5,0,3,2,3,0,8,2,0
1096,1090,296,291,634,636,739,304,2835,303,0
41,36,12,17,10,9,49,3,90,1,0
169,170,78,79,73,71,84,20,252,24,0
156,161,52,48,74,71,137,36,393,34,0
109,107,33,32,42,45,57,25,119,25,0
64,67,15,21,7,13,29,2,113,6,0
109,105,36,36,50,53,128,18,456,20,0
245,255,121,122,67,70,342,59,415,62,0
0,4,4,0,2,0,3,0,6,2,0
138,140,87,82,74,74,261,20,266,23,0
272,278,60,62,107,101,311,21,399,21,0
126,121,35,34,38,38,90,6,188,5,0
215,221,56,55,70,66,131,37,304,38,0
23,30,10,10,22,26,65,7,86,5,0
9,16,4,0,7,4,7,0,11,3,0
677,682,135,134,214,217,520,66,1110,64,0
210,204,69,75,63,57,307,71,350,68,0
133,137,75,81,73,70,314,43,374,45,0
37,39,7,7,13,13,31,4,32,6,0
28,37,18,22,10,8,43,6,44,4,0
92,98,59,58,35,39,151,11,232,13,0
44,49,18,24,26,26,27,14,62,12,0
38,44,12,11,15,19,24,7,80,9,0
37,33,14,9,9,5,40,5,61,5,0
163,164,59,62,59,60,120,6,328,4,0
54,58,19,20,16,23,62,8,75,9,0
18,20,8,8,5,9,14,3,35,5,0
180,173,65,61,56,65,253,9,297,12,0
26,23,17,14,8,6,23,7,80,10,0
14,10,7,5,4,6,17,1,28,3,0
10,18,4,9,9,6,10,4,13,4,0
70,71,29,34,29,26,71,12,149,15,0
223,224,91,90,47,46,207,33,345,35,0
23,19,2,9,8,2,33,3,33,5,0
15,21,3,8,8,8,17,1,46,5,0
43,45,25,18,24,29,29,7,86,9,0
57,66,18,18,38,44,70,4,90,1,0
44,48,19,16,25,24,43,10,131,13,0
28,34,13,9,11,15,38,5,40,5,0
114,108,62,59,94,91,210,11,319,9,0
228,224,90,92,36,34,122,19,399,22,0
123,116,35,40,40,47,49,4,109,6,0
20,26,13,11,14,14,22,5,56,4,0
606,611,162,161,164,167,331,38,1114,42,0
31,36,19,16,7,7,57,4,64,7,0
90,90,35,41,18,24,72,5,87,9,0
22,26,3,6,8,3,8,3,23,3,0
66,67,25,22,41,47,62,21,77,25,0
25,22,1,8,10,5,15,5,16,4,0
104,101,20,25,34,32,82,9,184,8,0
146,145,65,64,73,70,139,26,236,25,0
83,78,21,21,37,33,71,21,161,23,0
11,15,7,6,5,9,28,4,31,2,0
123,129,65,60,74,76,106,21,195,20,0
34,29,7,4,2,7,27,7,45,6,0
23,13,7,2,4,6,18,6,22,6,0
20,28,3,9,10,10,21,5,33,6,0
39,49,10,5,20,14,24,8,33,10,0
176,170,63,62,58,58,226,23,271,20,0
172,168,77,83,99,101,151,27,599,27,0
741,731,224,229,249,249,300,38,1056,35,0
53,54,23,25,25,24,56,7,72,5,0
237,229,73,76,70,75,232,67,308,72,0
1093,1099,935,939,564,569,1669,104,3987,106,0
2,10,1,1,0,3,3,0,12,1,0
39,39,12,16,13,15,32,6,64,5,0
138,137,63,61,28,25,55,24,145,25,0
216,213,44,40,78,77,141,56,274,53,0
49,50,23,18,7,11,61,5,87,2,0
103,99,26,24,20,20,67,11,247,13,0
32,26,17,12,8,11,38,1,53,1,0
55,53,20,18,9,12,43,12,78,10,0
0,11,1,3,6,0,6,3,10,1,0
30,25,12,9,8,7,23,5,42,7,0
23,28,8,14,9,6,28,5,40,4,0
15,22,5,8,10,17,28,5,37,8,0
220,214,100,97,69,75,131,40,205,41,0
75,79,12,18,40,41,26,16,107,19,0
115,107,35,30,61,56,169,5,297,9,0
98,91,24,31,25,27,86,18,88,15,0
73,66,17,20,39,38,45,16,93,20,0
93,92,38,41,35,33,111,18,120,19,0
12,18,12,9,3,5,22,5,36,5,0
187,191,61,61,46,46,103,8,383,7,0
2964,2960,2496,2502,1662,1665,4409,616,6880,616,0
7,11,2,5,3,6,9,3,21,2,0
4,12,1,9,9,4,3,3,18,1,0
74,73,18,21,34,30,42,15,99,13,0
35,38,23,20,21,23,36,3,60,2,0
61,59,17,13,33,40,39,15,143,15,0
280,273,120,114,136,136,352,19,494,19,0
195,189,56,61,53,53,183,16,246,16,0
331,325,129,124,92,92,403,55,403,55,0
23,27,5,9,9,7,21,5,39,3,0
101,108,25,30,58,61,74,25,250,23,0
202,209,31,37,46,42,198,14,278,17,0
64,58,17,21,14,18,69,3,101,4,0
59,62,33,38,37,37,115,12,139,16,0
34,29,19,16,11,12,59,12,70,11,0
20,13,4,4,7,7,18,1,27,4,0
15,19,4,9,8,7,15,3,36,3,0
29,33,7,5,17,15,15,7,35,5,0
19,17,6,1,3,7,11,4,15,4,0
132,139,47,50,40,44,64,14,113,12,0
59,65,18,21,28,32,34,15,99,12,0
34,39,15,18,27,27,55,11,110,14,0
25,29,14,9,6,7,29,1,48,1,0
141,142,49,51,48,54,73,19,146,18,0
20,15,10,10,7,11,27,4,31,7,0
61,58,10,15,28,26,55,2,84,1,0
22,18,10,12,10,11,13,4,23,2,0
2,11,1,2,2,2,4,0,16,2,0
65,61,36,40,39,34,53,11,135,11,0
152,152,67,67,93,92,139,26,200,24,0
43,40,18,15,9,15,19,10,48,10,0
12,9,4,0,5,3,3,3,9,0,0
114,116,54,58,81,76,208,46,264,47,0
92,86,62,60,45,50,150,20,194,18,0
31,24,7,4,7,13,16,3,59,2,0
19,11,11,5,9,8,8,3,34,0,0
452,448,94,98,123,124,437,90,779,89,0
30,32,10,13,19,21,29,5,65,6,0
67,70,33,36,18,20,63,8,135,11,0
100,97,48,44,26,21,124,16,196,16,0
52,58,18,24,31,38,79,11,93,15,0
201,195,90,91,123,129,114,69,366,68,0
69,75,34,37,16,13,33,7,70,4,0
108,102,27,23,38,34,46,15,102,12,0
26,22,15,12,16,20,26,6,59,4,0
215,219,98,102,82,87,201,38,445,41,0
44,44,11,8,11,10,30,10,71,9,0
16,8,5,8,10,5,8,3,26,3,0
401,395,119,121,95,90,221,34,427,34,0
98,103,31,35,33,38,107,10,186,10,0
147,146,42,39,66,63,127,27,199,30,0
264,260,125,123,107,105,155,29,205,31,0
